name,pop,lat,lon
Syracuse ,144457,43.0481221,-76.1474244
Lakewood ,144184,39.6246085,-105.0842039
Sunnyvale ,143968,37.3688301,-122.0363496
Hollywood ,143696,34.1028268,-118.3299899
Naperville ,142994,41.7729107,-88.147867
Dayton ,141894,39.7589478,-84.1916069
Cary ,141773,35.7882973,-78.7811925
Mesquite ,141454,32.7666103,-96.599472
Savannah ,140157,32.0835407,-81.0998342
Orange ,138438,33.7500378,-117.8704931
Pasadena ,138036,34.1476452,-118.1444779
McKinney ,137960,33.1976496,-96.6154471
Fullerton ,136673,33.8708215,-117.9294165
Clarksville ,136442,38.2967791,-85.7602087
Warren ,133904,40.8442828,-90.6168408
McAllen ,133623,26.154573,-98.26072076
West Valley City ,131077,40.6916132,-112.0010501
New Haven ,130955,41.3082138,-72.9250518
Bellevue ,130267,47.6144219,-122.1923372
Sterling Heights ,129883,42.5803122,-83.0302033
Olathe ,128269,38.8843867,-94.8161127
Topeka ,128015,39.0490111,-95.6775557
Cedar Rapids ,127837,41.9758872,-91.6704053
Thousand Oaks ,127559,34.1705609,-118.8375937
Waco ,126534,31.549333,-97.1466695
Elizabeth ,126063,40.6639916,-74.2107006
Visalia ,125859,36.3302284,-119.2920585
Gainesville ,125743,29.651907,-82.3247976
Hartford ,125492,41.7634935,-72.6830523
Miramar ,125189,25.97591145,-80.33472113
Simi Valley ,125184,34.2694474,-118.781482
Stamford ,124123,41.0534302,-73.5387341
Concord ,123764,43.207106,-71.5370216
Coral Springs ,123753,26.26485615,-80.26534189
Frisco ,123605,35.2351765,-75.6284903
Charleston ,123144,32.7876012,-79.9402728
Carrollton ,122505,33.5801103,-85.0766113
Roseville ,122294,38.72338,-121.1858782
Lafayette ,122172,30.2240897,-92.0198427
Thornton ,121885,39.95782075,-104.9669887
Evansville ,120133,37.9747645,-87.5558483
Denton ,120045,33.1728435,-97.05898636
Surprise ,119195,33.6292271,-112.3680189
Allen ,118878,37.8882168,-95.3170208
Abilene ,118727,32.4464534,-99.7333478
Victorville ,118134,34.5361067,-117.2911565
Santa Clara ,118010,37.3541132,-121.9551744
Beaumont ,117833,30.0860459,-94.1018461
Springfield ,117096,39.7989763,-89.6443688
Vallejo ,116908,38.1040864,-122.2566367
Independence ,116860,37.2242358,-95.7083131
Peoria ,115279,40.6938609,-89.5891008
Ann Arbor ,115276,42.2681569,-83.7312291
Provo ,114611,40.2338438,-111.6585337
El Monte ,114354,34.0751571,-118.036849
Lansing ,114270,42.7337712,-84.5553805
Berkeley ,114048,37.8708393,-122.2728639
Norman ,113968,35.2225717,-97.4394816
Midland ,113885,43.6155825,-84.2472117
Downey ,112541,33.9400143,-118.1325688
Murfreesboro ,111704,35.9155165,-86.44469333
Costa Mesa ,111049,33.6633386,-117.903317
Inglewood ,110834,33.9616801,-118.3531311
Miami Gardens ,110414,25.94207545,-80.23975271
Waterbury ,110080,41.5581525,-73.0514966
Elgin ,109243,42.0372487,-88.2811895
Clearwater ,108387,27.9658533,-82.8001026
Wilmington ,108244,39.7459468,-75.546589
Rochester ,108171,43.1854754,-77.61068605
San Buenaventura (Ventura) ,107800,34.302548,-119.2072845
Carlsbad ,107754,33.1580933,-117.3505939
Fargo ,107714,46.8772292,-96.789821
Arvada ,107578,39.8027644,-105.0874842
Lowell ,107553,42.6334247,-71.3161718
Gresham ,107498,45.5067406,-122.4367058
Pueblo ,107341,38.2544472,-104.609141
West Covina ,107006,34.0686208,-117.9389526
West Jordan ,106575,40.6096698,-111.9391031
Fairfield ,106254,38.2493581,-122.0399663
Norwalk ,106188,41.1175966,-73.4078968
High Point ,105802,35.9556924,-80.0053176
Billings ,105534,45.7874957,-108.49607
Richmond ,105404,37.5385087,-77.43428
Murrieta ,105253,33.560832,-117.2106564
Green Bay ,104389,44.5299412,-88.0248317
Wichita Falls ,104100,33.9137085,-98.4933873
Burbank ,104003,34.1816482,-118.3258554
Round Rock ,103929,30.5725805,-97.64840733
Antioch ,103923,38.0049214,-121.805789
Everett ,103593,47.9673056,-122.2013998
Palm Bay ,103380,28.0331886,-80.6429695
Temecula ,102955,33.4946353,-117.1473661
Daly City ,102640,37.688432,-122.4606865
Centennial ,102479,39.5680644,-104.9778307
Pompano Beach ,101884,26.2378597,-80.1247667
Richardson ,101676,32.9481789,-96.7297206
Erie ,101431,42.129461,-80.085239
West Palm Beach ,101349,26.7153425,-80.0533746
South Bend ,101012,41.6833813,-86.2500066
Boulder ,100852,40.0149856,-105.2705456
El Cajon ,100833,32.7947731,-116.9625269
Davenport ,100537,41.5236436,-90.5776368
Broken Arrow ,100093,36.0525993,-95.7908195
Las Cruces ,100032,32.3140354,-106.7798078
North Charleston ,99834,32.8546197,-79.9748103
Kenosha ,99525,42.5846773,-87.8212263
Lakeland ,99088,28.0394654,-81.9498042
San Mateo ,98669,37.496904,-122.3330573
Tyler ,98298,32.3512601,-95.3010624
Lawton ,98283,34.6086854,-98.3903305
Albany ,98012,42.6511674,-73.754968
Lewisville ,97424,33.046233,-96.994174
Clovis ,97414,34.405472,-103.2050709
Dearborn ,97326,42.3222599,-83.1763145
Sandy Springs ,97011,33.9242688,-84.3785379
Roanoke ,96810,37.270973,-79.9414313
Jurupa Valley ,96460,33.9798472,-117.4515754
Livonia ,96315,42.36837,-83.3527097
College Station ,95703,30.6262616,-96.3347249
Vista ,95168,33.2000368,-117.2425355
South Gate ,95079,33.9463456,-118.200981
New Bedford ,94798,41.6362152,-70.934205
San Angelo ,94651,31.4319925,-100.4545797
Greeley ,94318,40.4233142,-104.7091322
Davie ,94283,26.075729,-80.28410878
Mission Viejo ,94209,33.5965685,-117.659405
Yuma ,94174,32.665167,-114.4759049
Brockton ,94147,42.0834335,-71.0183787
Hillsboro ,94095,45.5228939,-122.989827
Renton ,94030,47.4799078,-122.2034496
Vacaville ,93356,38.3760441,-121.9954703
Pearland ,93252,29.5639758,-95.2864299
Yakima ,92787,46.601557,-120.5108421
Quincy ,92551,39.9356016,-91.4098727
Carson ,91940,33.8322043,-118.2517547
Lee's Summit ,91920,38.9108408,-94.3821724
Tuscaloosa ,91739,33.2668398,-87.4862182
Hesperia ,91418,34.4263886,-117.3008784
Beaverton ,91406,45.4871723,-122.8037804
Roswell ,91196,33.3942655,-104.5230242
Sparks ,91010,39.5348431,-119.7527683
Lynn ,90778,42.466763,-70.9494939
Santa Monica ,90749,34.0195598,-118.4869739
Federal Way ,90694,47.313494,-122.3393103
Spokane Valley ,90622,47.6732281,-117.2393748
Miami Beach ,90416,25.7881436,-80.1272705
Redding ,90367,40.5863563,-122.3916754
Orem ,89613,40.2975185,-111.6944685
Rio Rancho ,89570,35.233375,-106.6644716
Lawrence ,89050,38.9719384,-95.2359496
Waukegan ,88940,42.3636331,-87.8447938
Santa Barbara ,88757,34.4098107,-119.6970239
Fall River ,88738,43.2264954,-103.5791473
Sandy ,88692,40.572851,-111.8334495
Allen ,87798,37.8882168,-95.3170208
Longmont ,87427,40.1672117,-105.1019287
Fort Smith ,87189,35.3872218,-94.4248983
Plantation ,86961,26.1265258,-80.25786104
Norwalk ,86705,41.1175966,-73.4078968
Chico ,86687,39.7284945,-121.8374777
Nashua ,86644,42.7653662,-71.467566
Boca Raton ,86622,26.3586885,-80.0830984
Sunrise ,86483,26.1482449,-80.32888574
League City ,86279,29.5074538,-95.0949303
Duluth ,86270,46.7729322,-92.1251218
Greenville ,86244,34.851354,-82.3984882
Newport Beach ,86229,33.6170092,-117.9294401
San Leandro ,85989,37.7249296,-122.1560768
Newton ,85915,42.3370414,-71.2092214
Whittier ,85883,33.9748932,-118.0336975
Hawthorne ,85161,33.9113109,-118.3477942
San Marcos ,85152,29.8826436,-97.9405828
Deltona ,85138,28.9005446,-81.2636738
Asheville ,84697,35.6009498,-82.5540161
Trenton ,84476,40.2170575,-74.7429463
Cicero ,84395,41.8455878,-87.7539448
Tracy ,84114,37.718829,-121.4342842
Citrus Heights ,83960,38.7071247,-121.2810611
Bloomington ,83917,39.1670396,-86.5342881
Westland ,83563,42.3238056,-83.4005321
Ogden ,83316,41.2230048,-111.9738429
Sioux City ,83033,42.4966815,-96.4058782
Edmond ,83020,35.6571367,-97.4649038
Nampa ,82645,43.5737361,-116.559642
Livermore ,82360,37.6820583,-121.7680531
Danbury ,82176,41.394817,-73.4540111
Kirkland ,82098,47.6859573,-122.1920249
Champaign ,81982,40.1164205,-88.2433829
Hoover ,81759,33.392206,-86.78045321
Bloomington ,81710,39.1670396,-86.5342881
Buena Park ,81709,33.870413,-117.9962165
Carmel ,81633,39.9783711,-86.1180435
Troy ,81530,42.6055893,-83.1499304
Bellingham ,81517,48.754402,-122.4788602
Indio ,81167,33.7192808,-116.2188054
O'Fallon ,81023,38.5922715,-89.9112124
Longview ,81014,32.5007038,-94.7404891
Concord ,80620,43.207106,-71.5370216
Lakewood ,80599,39.6246085,-105.0842039
Cranston ,80542,41.7809588,-71.4371257
Sugar Land ,80527,29.6196787,-95.6349463
Hemet ,80400,33.778562,-117.0357665
Farmington Hills ,80196,42.4853125,-83.3771553
Hammond ,80194,41.5833658,-87.500043
Fishers ,79955,39.9555928,-86.0138729
Menifee ,79945,37.9357602,-83.6014187
Merced ,79831,37.3029568,-120.4843269
Mission ,79690,26.2159066,-98.3252932
Gary ,79688,41.6021292,-87.3371372
Chino ,79620,34.0133561,-117.690075
Johns Creek ,79521,34.0181557,-84.190196
Racine ,78505,42.7261309,-87.7828523
Lake Forest ,78454,42.2586342,-87.840625
Redwood City ,78066,37.4852152,-122.2363548
Largo ,77941,27.9094665,-82.7873244
Meridian ,77855,32.376096,-88.68978607
Napa ,77777,38.2891775,-122.2937063
Albany ,77746,42.6511674,-73.754968
New Rochelle ,77709,40.9115386,-73.7826363
Bend ,77628,44.0581728,-121.3153096
Camden ,77567,30.9298212,-81.6225075
Bryan ,77255,30.693444,-96.40080172
Bellflower ,77134,33.8825705,-118.1167679
Bloomington ,77120,39.1670396,-86.5342881
St. Joseph ,77112,39.7686055,-94.8466322
Lawrence ,76986,38.9719384,-95.2359496
Avondale ,76927,33.4359175,-112.3405021
Brooklyn Park ,76889,45.1004807,-93.3443585
Lynchburg ,76813,37.40088,-79.18449229
Somerville ,76666,42.3875968,-71.0994968
Deerfield Beach ,76567,26.318342,-80.0996306
Palm Coast ,76554,29.5541432,-81.2207673
Tustin ,76371,33.7458511,-117.826166
Scranton ,75981,41.4086874,-75.6621294
Baldwin Park ,75949,34.08033185,-117.9662137
Decatur ,75846,39.8628075,-88.89387182
Chino Hills ,75788,33.9926803,-117.760056
Medford ,75670,42.3264181,-122.8718605
Fayetteville ,75590,36.111508,-94.20986672
Kennewick ,75542,46.2112458,-119.1372338
Arlington Heights village,75394,38.8967784,-77.0724777
Mountain View ,75207,37.3855745,-122.08205
Bethlehem ,75084,40.6178915,-75.3786521
Evanston ,74993,42.0447388,-87.6930459
Alameda ,74753,37.6090291,-121.899142
Kalamazoo ,74679,42.291707,-85.5872286
Upland ,74623,34.09751,-117.6483876
St. George ,73953,37.104153,-113.5841313
Bolingbrook village,73783,39.98265,-83.1258399
San Ramon ,73062,37.7799273,-121.9780153
Bay ,72973,30.2481693,-85.6593633
Appleton ,72835,44.2611337,-88.4067604
Folsom ,72682,38.6779591,-121.1760583
Wyoming ,72681,43.1700264,-107.5685348
Lake Charles ,72679,30.2265949,-93.2173759
Springdale ,72322,36.1867442,-94.1288142
Southfield ,72109,42.4733689,-83.2218731
Pharr ,72095,26.1572415,-98.19134333
Gastonia ,72013,35.262082,-81.1873005
Auburn ,71605,32.5978265,-85.56335486
Rochester Hills ,71573,42.6583661,-83.1499322
Pleasanton ,71249,37.6624312,-121.8746789
Pawtucket ,71186,41.878711,-71.3825558
Wilmington ,70978,39.7459468,-75.546589
Warner Robins ,70741,32.598313,-83.62567691
Waukesha ,70709,43.0116784,-88.2314813
Union City ,70666,37.5963232,-122.0816297
Perris ,70368,33.7825194,-117.2286478
Muncie ,70347,40.1936683,-85.3865114
Passaic ,70270,40.8567663,-74.1284764
Apple Valley ,70150,44.7319094,-93.21772
Lynwood ,69852,33.9303225,-118.2114933
Lafayette ,69795,30.2240897,-92.0198427
Redlands ,69441,34.072662,-117.0934169
Mount Pleasant ,69411,32.7940651,-79.8625851
Manteca ,69287,37.7986184,-121.2117148
Turlock ,69183,37.4946568,-120.8465941
Iowa City ,69183,41.6612561,-91.5299106
Loveland ,69153,40.3977612,-105.0749801
Jonesboro ,69069,35.8428646,-90.7034522
Boynton Beach ,68946,26.5253491,-80.0664309
Gulfport ,68887,30.3674198,-89.0928155
Santa Fe ,68736,35.6869996,-105.9377997
Rapid City ,68637,44.0811755,-103.228006
Waterloo ,68386,43.4655524,-80.5217786
Lauderhill ,68374,26.1403635,-80.2133808
Layton ,68245,41.0602888,-111.9661495
Jacksonville ,68161,30.3321838,-81.655651
Missouri City ,67922,29.6330685,-95.5375482
Mount Vernon ,67746,38.3172715,-88.9031201
Union City ,67686,37.5963232,-122.0816297
Missoula ,67565,46.879583,-113.921459
Temple ,67514,31.098207,-97.3427847
Rock Hill ,67339,34.9248667,-81.0250784
Goodyear ,67229,33.353366,-112.4138567
Redondo Beach ,67193,33.8455911,-118.3886766
Milpitas ,67188,37.4282724,-121.9066238
Kenner ,66875,29.9942265,-90.2417806
Jackson ,66816,32.2990384,-90.1847691
Eau Claire ,66797,44.811349,-91.4984941
Dothan ,66662,31.158522,-85.4269662
Youngs ,66574,38.8986836,-83.2060162
St. Charles ,66159,41.9141984,-88.3086977
Portland ,66147,45.5202471,-122.6741949
Oshkosh ,66128,44.0206919,-88.5408574
Flower Mound ,66067,33.0145673,-97.0969552
Flagstaff ,66066,35.199458,-111.6514259
Rancho Cordova ,66058,38.5890723,-121.302728
Schenectady ,66041,42.8095455,-74.021672
Frederick ,65965,39.414443,-77.4105783
St. Cloud ,65915,45.5616075,-94.1642004
Yorba Linda ,65765,33.890107,-117.8255939
Davis ,65741,38.545379,-121.7445835
Camarillo ,65670,34.2163939,-119.0376024
Harlingen ,65666,26.1906306,-97.6961026
Palo Alto ,65442,37.442156,-122.1634472
Walnut Creek ,64914,37.9063131,-122.064963
Yuba City ,64845,39.1404477,-121.6169108
South San Francisco ,64621,37.6549493,-122.4081251
Pittsburg ,64621,38.0187757,-121.8850836
Pasco ,64568,28.2996183,-82.4522702
Eagan ,64526,44.818173,-93.1659179
East Orange ,64403,40.767323,-74.2048677
North Richland Hills ,64387,32.8342952,-97.2289029
San Clemente ,64378,33.4270275,-117.6124179
Franklin ,64339,37.9765409,-88.9335327
Johnson City ,64283,36.3134398,-82.3534728
Lorain ,63968,41.452819,-82.1823746
Laguna Niguel ,63893,33.5225261,-117.7075526
Fort Myers ,63838,26.640628,-81.8723084
North Little Rock ,63525,34.7456275,-92.15314448
Woodbury ,63523,44.92317,-92.9588282
Janesville ,63449,42.7151854,-88.9907743
Bossier City ,63441,32.5499425,-93.70095925
Pico Rivera ,63384,33.9830688,-118.096735
Maple Grove ,63200,45.0759797,-93.4561052
Montebello ,63090,34.0159398,-118.111975
Shawnee ,63017,39.0416718,-94.7202376
Bismarck ,62997,46.8083268,-100.7837392
Homestead ,62777,25.4687224,-80.4775569
Taylor ,62636,32.556921,-84.2395154
Council Bluffs ,62500,41.2621283,-95.8613912
Hamilton ,62335,43.254687,-79.8678197
Rockville ,62143,39.0840054,-77.1527573
Utica ,62024,43.1009031,-75.2326641
Madera ,61999,37.1716264,-119.7737991
Tamarac ,61808,26.2052115,-80.27105546
Conway ,61666,35.0886963,-92.4421011
Eden Prairie ,61610,44.8546856,-93.470786
Delray Beach ,61598,26.4614625,-80.0728201
Kissimmee ,61520,28.2920249,-81.4078013
Coon Rapids ,61506,45.1199652,-93.2877277
Gaithersburg ,61491,39.1434406,-77.2013705
Haverhill ,61463,42.7762015,-71.0772796
Santa Cruz ,61449,36.9746099,-122.0294259
Waltham ,61377,42.3756401,-71.2358004
Marysville ,61289,39.1457247,-121.5913516
Daytona Beach ,61202,29.2108147,-81.0228331
La Habra ,61052,33.9318775,-117.9461074
Terre Haute ,60985,39.4667025,-87.4139119
Vineland ,60947,39.473152,-75.00202645
Meriden ,60736,41.5381535,-72.8070435
Monterey Park ,60676,34.0512156,-118.129229
Burnsville ,60655,44.7677424,-93.2777226
North Miami ,60593,25.90560775,-80.17506945
West Allis ,60507,43.0166806,-88.0070315
Cheyenne ,60339,41.1399814,-104.8202462
Encinitas ,60339,33.0369867,-117.2919818
Springfield ,60306,39.7989763,-89.6443688
Ames ,60231,42.0346917,-93.6201507
Tulare ,59948,36.2516475,-118.852583
Greenville ,59947,34.851354,-82.3984882
Malden ,59940,42.4250964,-71.066163
Taylorsville ,59755,40.6677517,-111.9386311
Springfield ,59728,39.7989763,-89.6443688
St. Clair Shores ,59671,42.4969805,-82.8888054
Pontiac ,59627,40.8808666,-88.6297839
Grand Junction ,59581,39.063956,-108.5507317
Alpharetta ,59424,34.0709576,-84.2747329
New Braunfels ,59422,29.7026173,-98.1256263
Lancaster ,59400,40.03813,-76.3056686
Bowling Green ,59395,36.9903199,-86.4436018
Gardena ,59279,33.8883302,-118.3070892
Cupertino ,59253,37.3230107,-122.0322519
National City ,59145,32.6781085,-117.0991967
Conroe ,59120,30.20481805,-95.45240905
Great Falls ,58971,47.5048851,-111.2918908
Lakewood ,58649,39.6246085,-105.0842039
Des Plaines ,58637,42.0415823,-87.8873916
Huntington Park ,58486,33.9816812,-118.2250725
West Des Moines ,58373,41.5645337,-93.7595281
San Rafael ,58264,37.9735346,-122.5310874
Petaluma ,58262,38.270022,-122.6061223
Royal Oak ,58138,42.4894801,-83.1446485
Blaine ,58128,35.8970899,-98.4225961
Mansfield ,58065,40.75839,-82.5154471
Dubuque ,57818,42.5006217,-90.6647967
Rogers ,57780,36.3781607,-95.6190889
La Mesa ,57777,33.436188,-111.5860661
Owensboro ,57774,37.7742152,-87.1133304
North Port ,57626,27.044224,-82.2359254
Marietta ,57604,33.9528472,-84.5496148
Idaho Falls ,57595,43.4930789,-112.044349
Rocky Mount ,57533,35.9382104,-77.7905341
Broomfield ,57433,39.9379892,-105.0587294
Chapel Hill ,57429,35.9131996,-79.0558445
Dearborn Heights ,57389,42.3369816,-83.2732627
Bartlett ,57363,41.9908485,-88.1850028
White Plains ,57231,41.0339862,-73.7629097
Rowlett ,57019,32.9029017,-96.56388
Tinley Park village,56967,41.5961445,-87.7864396
Kokomo ,56923,40.4864444,-86.1336351
Arcadia ,56812,34.1362075,-118.0401497
Moore ,56754,35.2835629,-86.3411514
Berwyn ,56748,41.8505874,-87.7936685
Medford ,56676,42.3264181,-122.8718605
Ocala ,56637,29.1871986,-82.1400923
Lakeville ,56625,44.650051,-93.2432791
Port Orange ,56593,29.10150985,-81.01055374
Jupiter ,56240,26.9266939,-80.12208902
Casper ,56173,42.866632,-106.313081
Valdosta ,56087,30.8327022,-83.2784851
Fountain Valley ,56072,33.7038145,-117.9627349
Diamond Bar ,55982,34.0286226,-117.8103367
Novi ,55933,42.48059,-83.4754913
Anderson ,55920,38.198077,-95.3067461
Decatur ,55834,39.8628075,-88.89387182
Woodland ,55796,38.6786109,-121.7733285
Bowie ,55725,39.0067768,-76.7791365
Chicopee ,55551,42.17073265,-72.57331507
West Haven ,55512,41.2706527,-72.9470471
Redmond ,55501,47.6694141,-122.1238767
Cedar Park ,55360,30.5119385,-97.8097447
Midwest City ,55310,35.4495097,-97.3967025
Auburn ,54981,32.5978265,-85.56335486
Port Arthur ,54926,29.8988258,-93.9287815
Porterville ,54756,36.06523,-119.0167679
Carson City,54747,39.1637984,-119.7674034
Lake Elsinore ,54724,33.6680772,-117.3272615
Pocatello ,54648,42.8688613,-112.4401098
Santee ,54597,32.8383828,-116.9739167
Eastvale ,54591,33.9766799,-117.5598444
Corvallis ,54567,44.5645659,-123.2620435
Paramount ,54477,33.8984873,-118.170703
Mount Prospect village,54432,41.983426,-73.4212318
Hanford ,54381,36.3274502,-119.6456844
Elyria ,54322,41.3683798,-82.1076486
Manhattan ,54245,40.7902778,-73.9597222
Sanford ,54228,35.4798757,-79.1802994
Coconut Creek ,54221,26.2714628,-80.18180846
Rosemead ,54165,34.0676169,-118.0879763
Noblesville ,53972,40.0455918,-86.0085955
Shoreline ,53755,47.7563195,-122.3438255
Delano ,53661,35.7688425,-119.2470536
St. Peters ,53391,38.8010514,-90.627881
South Jordan ,53347,40.5621704,-111.929658
Wheaton ,53274,41.8646959,-88.1101709
Normal ,53053,40.5117699,-88.9944815
Lake Havasu City ,52829,34.483901,-114.3224548
Colton ,52816,34.0739016,-117.3136547
